,id,alias,name,is_claimed,is_closed,review_count,rating,coordinates,business_type,price,zip_code,city,state,delivery,pickup,covid_cases,covid_tests,covid_deaths,zipcode_population,latitude,longitude
5496,zae6Qup84YzZWABhmpd7lA,slice-factory-berwyn-3,Slice Factory,,False,79.0,2.5,"{'longitude': -87.79537481376497, 'latitude': 41.825908870545824}",,1.0,60402,Berwyn,IL,True,True,,,,,41.825908870545824,-87.79537481376497
5497,CLn9cqiFy7EB5-ccmZm_Dw,el-meson-express-berwyn,El Meson Express,,False,56.0,3.0,"{'longitude': -87.79404, 'latitude': 41.82708}",,1.0,60402,Berwyn,IL,True,True,,,,,41.82708,-87.79404
5498,mNBCpXUAmGgYotIfdAMVxA,big-mamas-kitchen-berwyn,Big Mama's Kitchen,,False,10.0,3.0,"{'longitude': -87.79536, 'latitude': 41.8258954}",,,60402,Berwyn,IL,True,True,,,,,41.8258954,-87.79536
5499,0M_sl6HNhzkZSHJt8Y7uug,taco-bell-berwyn,Taco Bell,,False,17.0,2.0,"{'longitude': -87.79666, 'latitude': 41.825917}",,1.0,60402,Berwyn,IL,True,False,,,,,41.825917,-87.79666
5500,E1s8QwheDEtAp_uCD3IbMQ,subway-berwyn-8,Subway,,False,5.0,2.5,"{'longitude': -87.7960819458747, 'latitude': 41.8264408648745}",,1.0,60402,Berwyn,IL,True,True,,,,,41.8264408648745,-87.7960819458747
5501,lK0IiJc7OwaSQDSQv2XWdA,cigars-and-stripes-bbq-lounge-berwyn,Cigars & Stripes BBQ Lounge,,False,239.0,4.5,"{'longitude': -87.79098, 'latitude': 41.82815}",,2.0,60402,Berwyn,IL,True,False,,,,,41.82815,-87.79098
5502,EeRmMdGZ9VHIvdyX9M8_Vw,novis-beef-berwyn-2,Novi's Beef,,False,122.0,4.0,"{'longitude': -87.79209, 'latitude': 41.82709}",,1.0,60402,Berwyn,IL,True,True,,,,,41.82709,-87.79209
5503,U__D6_4QONAvs0OkXBjCWQ,paleteria-las-delicias-de-michoacan-berwyn,Paleteria Las Delicias de Michoacan,,False,12.0,4.5,"{'longitude': -87.7932642682178, 'latitude': 41.8272569488989}",,1.0,60402,Berwyn,IL,True,False,,,,,41.8272569488989,-87.7932642682178
5504,OEId_sZlkp_jXSNt4u9gVQ,custom-cookies-by-jill-berwyn,Custom Cookies by Jill,,False,4.0,5.0,"{'longitude': -87.790811, 'latitude': 41.827892}",,2.0,60402,Berwyn,IL,False,False,,,,,41.827892,-87.790811
5505,btRCfJUtpiNBVon_uPwlIg,little-caesars-pizza-berwyn,Little Caesars Pizza,,False,25.0,2.0,"{'longitude': -87.792945, 'latitude': 41.827468}",,1.0,60402,Berwyn,IL,False,False,,,,,41.827468,-87.792945
5506,fJz5HFhj17f53GkUoa-KZQ,mario-and-sandras-chicago,Mario & Sandra's,,False,1.0,5.0,"{'longitude': -87.695091, 'latitude': 41.827583}",,1.0,60632,Chicago,IL,False,False,11075.0,62762.0,163.0,91039.0,41.827583,-87.695091
5507,kLVT9hvGfSMNIp5Xe_t9Hw,kfc-chicago-17,KFC,,False,16.0,2.0,"{'longitude': -87.6840883380461, 'latitude': 41.8267502099069}",,1.0,60609,Chicago,IL,True,True,5768.0,50608.0,115.0,61495.0,41.8267502099069,-87.6840883380461
5508,QHLmjOmJyObKaoGn4srYyg,taqueria-archer-chicago-5,Taqueria Archer,,False,58.0,3.5,"{'longitude': -87.681241, 'latitude': 41.827845}",,1.0,60609,Chicago,IL,True,True,5768.0,50608.0,115.0,61495.0,41.827845,-87.681241
5509,4N_80YsxK-LYAkH5UvTZBg,golf-in-motion-chicago-4,Golf in Motion,,False,18.0,5.0,"{'longitude': -87.6550387320951, 'latitude': 41.8269221171065}",,,60609,Chicago,IL,False,False,5768.0,50608.0,115.0,61495.0,41.8269221171065,-87.6550387320951
5510,C_gBXMwqNaB-piusrphNmg,chicago-park-district-donovan-park-chicago,Chicago Park District - Donovan Park,,False,1.0,4.0,"{'longitude': -87.6477949, 'latitude': 41.82804}",,,60609,Chicago,IL,False,False,5768.0,50608.0,115.0,61495.0,41.82804,-87.6477949
5511,dAtnrxod4RRg38V3_v5qbQ,kathy-des-deli-chicago,Kathy De's Deli,,False,114.0,4.5,"{'longitude': -87.64026, 'latitude': 41.82774}",,1.0,60609,Chicago,IL,True,True,5768.0,50608.0,115.0,61495.0,41.82774,-87.64026
5512,JsqugnOHtK0_EnULhB5SoQ,j-and-rs-caribbean-chicago,J & R's Caribbean,,False,1.0,2.0,"{'longitude': -87.62208, 'latitude': 41.82782}",,,60689,Chicago,IL,False,False,,,,,41.82782,-87.62208
5513,bhGj5htuiQDTt1hqdkNNnQ,the-james-joyce-irish-pub-berwyn,The James Joyce Irish Pub,,False,71.0,4.5,"{'longitude': -87.8023910522461, 'latitude': 41.8310243226926}",,2.0,60402,Berwyn,IL,False,False,,,,,41.8310243226926,-87.8023910522461
5514,WKeIALL55roL3COSSUV6Fg,el-faro-2-riverside,El Faro #2,,False,41.0,3.0,"{'longitude': -87.803269, 'latitude': 41.8294806708474}",,,60546,Riverside,IL,True,True,,,,,41.8294806708474,-87.803269
5515,10A9YrewPgQblIHr9uYgmg,n-joy-ii-berwyn,N Joy II,,False,24.0,3.5,"{'longitude': -87.8024986, 'latitude': 41.830889}",,1.0,60402,Berwyn,IL,True,True,,,,,41.830889,-87.8024986
5516,9bEbCYqlr884otlVCLjeSw,quans-oasis-berwyn,Quan's Oasis,,False,5.0,4.5,"{'longitude': -87.8027417, 'latitude': 41.8308063}",,,60402,Berwyn,IL,False,False,,,,,41.8308063,-87.8027417
5517,M6wRB5IapPX8oqAZ0YOpBQ,michael-anthonys-pizzeria-and-bar-berwyn,Michael Anthony's Restaurant & Bar,,False,45.0,4.0,"{'longitude': -87.78437, 'latitude': 41.82981}",,2.0,60402,Berwyn,IL,True,False,,,,,41.82981,-87.78437
5518,3bHhoQ3fqGlAi3W6PMWQDg,avito-caffe-berwyn,Avito Caffe,,False,34.0,4.5,"{'longitude': -87.78591, 'latitude': 41.82923}",,2.0,60402,Berwyn,IL,True,False,,,,,41.82923,-87.78591
5519,0OQ9C0sIR6k__12VUoU_1w,parrilla-express-berwyn,Parrilla Express,,False,56.0,3.5,"{'longitude': -87.7832186, 'latitude': 41.8307184}",,1.0,60402,Berwyn,IL,True,True,,,,,41.8307184,-87.7832186
5520,BIg2htwz-FqANs_mT0aPqQ,lolitas-berwyn,Lolitas,,False,33.0,3.5,"{'longitude': -87.7826935, 'latitude': 41.830333}",,1.0,60402,Berwyn,IL,True,False,,,,,41.830333,-87.7826935
5521,leEGnWTJCRd9YhaULu92gQ,skyview-resaturant-and-banquets-berwyn,Skyview Resaturant & Banquets,,False,23.0,2.0,"{'longitude': -87.78237, 'latitude': 41.83045}",,1.0,60402,Berwyn,IL,True,True,,,,,41.83045,-87.78237
5522,rECyQxDzRdrQbV7wzzcB0A,taqueria-y-birrieria-jalisco-express-cicero,Taqueria Y Birrieria Jalisco Express,,False,16.0,4.0,"{'longitude': -87.77336, 'latitude': 41.82867}",,1.0,60804,Cicero,IL,False,False,,,,,41.82867,-87.77336
5523,eSHvDjCVG3yI7d9ejMICGg,jalisco-express-restaurant-cicero,Jalisco Express Restaurant,,False,31.0,3.0,"{'longitude': -87.77349, 'latitude': 41.82926}",,2.0,60804,Cicero,IL,True,True,,,,,41.82926,-87.77349
5524,TGfUVapl6Xq-gQNIFCkrlw,la-manzana-cicero,La Manzana,,False,8.0,4.5,"{'longitude': -87.772234, 'latitude': 41.8288251}",,1.0,60804,Cicero,IL,False,False,,,,,41.8288251,-87.772234
5525,izcTSeCOJkLhX2kxHEimiQ,7-eleven-cicero,7-Eleven,,False,5.0,4.5,"{'longitude': -87.7736139403169, 'latitude': 41.8290837710347}",,1.0,60804,Cicero,IL,True,True,,,,,41.8290837710347,-87.7736139403169
